rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2014;7;Volební strana REPUBLIKA;21;Lašková Radmila CSc.;CSc.;82;Republika;BEZPP;51;2.51;-;False
2014;14;Občané patrioti;35;Laštovka Václav Mgr.;Mgr.;40;OPAT;BEZPP;2677;1.98;31;False
2014;3;Strana svobodných občanů;20;Leicht Miroslav;;52;Svobodní;BEZPP;991;2.4;-;False
2014;2;Pravá volba pro Plzeň (PVP);41;Leichtová Irena Ing.;Ing.;49;PVP;BEZPP;897;1.77;-;False
2014;12;Strana Práv Občanů;15;Lešák Jiří;;41;SPO;BEZPP;106;4.49;-;False
2014;2;Pravá volba pro Plzeň (PVP);22;Leška Martin;;26;PVP;BEZPP;976;1.93;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;24;LIBOTOVSKÝ Ladislav;;37;KDU-ČSL;KDU-ČSL;2134;2.04;21;False
2014;10;Komunistická str.Čech a Moravy;27;Lifka František;;64;KSČM;KSČM;3315;2.16;22;False
2014;13;Česká str.sociálně demokrat.;16;Lisenko Radim Mgr.;Mgr.;41;ČSSD;ČSSD;6512;2.14;6;False
2014;5;Společně za Plzeň;25;Liška Pavel;;31;Piráti;Piráti;1806;2.04;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;34;LIŠKA Milan;;49;KDU-ČSL;BEZPP;2259;2.16;31;False
2014;11;ANO 2011;31;Lišková Marie Ing.;Ing.;55;ANO;ANO;6970;2.11;21;False
2014;16;Občanská demokratická strana;41;Lišková Pavlína;;41;ODS;ODS;6459;1.99;31;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;12;LODROVÁ Lenka Ing. Bc.;Ing. Bc.;47;KDU-ČSL;KDU-ČSL;2337;2.23;9;False
2014;2;Pravá volba pro Plzeň (PVP);43;Lomberský Jiří Mgr.;Mgr.;81;PVP;PVP;868;1.71;-;False
2014;14;Občané patrioti;36;Loučím Jan Ing.;Ing.;65;OPAT;BEZPP;2745;2.03;32;False
2014;9;Plzeň pro sport;35;Lovecký Jiří;;32;PPPS;PPPS;638;1.93;-;False
2014;5;Společně za Plzeň;24;Lukášová Dana Bc.;Bc.;29;NK;BEZPP;1793;2.03;-;False
2014;10;Komunistická str.Čech a Moravy;28;Lukavský Jiří JUDr.;JUDr.;65;KSČM;KSČM;3313;2.16;23;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;18;Lukeš Zdeněk Ing.;Ing.;71;VZ;BEZPP;1129;2.1;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;22;MACKOVÁ Marie Ing.;Ing.;39;KDU-ČSL;BEZPP;2133;2.04;19;False
2014;11;ANO 2011;3;Mádlová Ivana PhDr. Ph.D., MBA;PhDr. Ph.D., MBA;48;ANO;ANO;7882;2.38;1;True
2014;16;Občanská demokratická strana;15;Mádr Zdeněk Ing.;Ing.;57;ODS;ODS;7067;2.18;5;False
2014;5;Společně za Plzeň;46;Machová Nataša;;51;Změna;BEZPP;1500;1.7;-;False
2014;10;Komunistická str.Čech a Moravy;21;Mainzer František JUDr.;JUDr.;57;KSČM;KSČM;3364;2.2;16;False
2014;6;TOP 09;36;Mainzerová Iva Ing. arch.;Ing. arch.;39;TOP 09;BEZPP;3395;2.03;31;False
2014;7;Volební strana REPUBLIKA;11;Majer Jaroslav;;63;Republika;BEZPP;60;2.96;-;False
2014;9;Plzeň pro sport;21;Majer Martin;;50;PPPS;BEZPP;660;2.0;-;False
2014;11;ANO 2011;46;Majerník Stanislav Ing.;Ing.;42;ANO;ANO;6181;1.87;36;False
2014;5;Společně za Plzeň;10;Makoň Karel;;41;NK;BEZPP;3065;3.47;-;False
2014;13;Česká str.sociálně demokrat.;22;Malásek Michal Ing.;Ing.;41;ČSSD;ČSSD;6474;2.13;12;False
2014;16;Občanská demokratická strana;31;Malast Jan JUDr. PhDr.;JUDr. PhDr.;34;ODS;ODS;6780;2.09;21;False
2014;14;Občané patrioti;28;Malina Vlastimil;;52;OPAT;BEZPP;2823;2.09;24;False
2014;16;Občanská demokratická strana;40;Maňas Jan;;39;ODS;ODS;6514;2.01;30;False
2014;4;Změna pro Plzeň;1;Marek Martin;;32;NK;BEZPP;1889;4.12;-;False
2014;11;ANO 2011;37;Mareš Jiří Ing.;Ing.;33;ANO;ANO;6827;2.06;27;False
2014;14;Občané patrioti;31;Markvartová Eva Mgr.;Mgr.;51;OPAT;BEZPP;2829;2.09;27;False
2014;4;Změna pro Plzeň;12;Martínek Robert Ing. arch.;Ing. arch.;36;"""Z""";BEZPP;1044;2.28;-;False
2014;13;Česká str.sociálně demokrat.;29;Mařík Vladislav;;49;ČSSD;ČSSD;6419;2.11;19;False
2014;14;Občané patrioti;13;Maříková Jaroslava Ing.;Ing.;61;OPAT;OPAT;3208;2.38;4;False
2014;4;Změna pro Plzeň;13;Mašková Šárka MUDr.;MUDr.;34;NK;BEZPP;1004;2.19;-;False
2014;2;Pravá volba pro Plzeň (PVP);5;Matějka Miroslav Ing.;Ing.;47;PVP;KAN;1215;2.4;-;False
2014;13;Česká str.sociálně demokrat.;25;Matějovic Karel Bc.;Bc.;50;ČSSD;ČSSD;6464;2.13;15;False
2014;11;ANO 2011;40;Matoušek Tomáš Ing.;Ing.;31;ANO;ANO;6737;2.04;30;False
2014;4;Změna pro Plzeň;29;Matoušková Marcela;;58;NK;BEZPP;923;2.01;-;False
2014;16;Občanská demokratická strana;8;Matoušová Helena;;54;ODS;ODS;7039;2.17;9;True
2014;9;Plzeň pro sport;18;Maule Petr Bc. MBA;Bc. MBA;24;PPPS;BEZPP;691;2.09;-;False
2014;9;Plzeň pro sport;1;Mauleová Naděžda Ing. MBA;Ing. MBA;47;PPPS;PPPS;1176;3.57;-;False
2014;8;Sdružení DSZ a NK;3;Mayer David;;27;NK;BEZPP;64;7.58;-;False
2014;10;Komunistická str.Čech a Moravy;46;Mazal Miroslav;;65;KSČM;KSČM;3113;2.03;40;False
2014;2;Pravá volba pro Plzeň (PVP);17;Mazín Václav Ing. Ph.D.;Ing. Ph.D.;62;PVP;BEZPP;998;1.97;-;False
2014;7;Volební strana REPUBLIKA;15;Mičkal Vladimír Ing.;Ing.;63;Republika;BEZPP;57;2.81;-;False
2014;14;Občané patrioti;3;Michálek Jan Ing.;Ing.;45;OPAT;OPAT;2964;2.19;6;False
2014;11;ANO 2011;20;Michálek Václav Mgr.;Mgr.;50;ANO;ANO;7056;2.13;10;False
2014;10;Komunistická str.Čech a Moravy;14;Michalides Tomáš Ing.;Ing.;52;KSČM;BEZPP;3354;2.19;9;False
2014;16;Občanská demokratická strana;21;Miklášová Michaela Mgr.;Mgr.;26;ODS;ODS;6813;2.1;11;False
2014;14;Občané patrioti;37;Minářová Dagmar MUDr.;MUDr.;58;OPAT;BEZPP;2660;1.97;33;False
2014;3;Strana svobodných občanů;5;Miškolci Michal;;29;Svobodní;Svobodní;897;2.18;-;False
2014;2;Pravá volba pro Plzeň (PVP);14;Monhartová Květoslava;;76;PVP;BEZPP;1054;2.08;-;False
2014;5;Společně za Plzeň;44;Moravcová Lucie PhDr.;PhDr.;32;Zelení;BEZPP;1651;1.87;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;13;Moule Roman;;42;DSSS;DSSS;322;3.15;-;False
2014;14;Občané patrioti;19;Mraček Zdeněk prof. MUDr.;prof. MUDr.;84;OPAT;BEZPP;2929;2.17;16;False
2014;4;Změna pro Plzeň;35;Mráz Jan Ing.;Ing.;59;NK;BEZPP;869;1.89;-;False
2014;7;Volební strana REPUBLIKA;13;Mráz Marek;;22;Republika;BEZPP;59;2.91;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;10;Muhr Martin;;44;DSSS;DSSS;336;3.28;-;False
2014;13;Česká str.sociálně demokrat.;19;Mužík Zdeněk Ing.;Ing.;55;ČSSD;ČSSD;6529;2.15;9;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;1;NÁHLÍK Petr Ing.;Ing.;53;KDU-ČSL;KDU-ČSL;3690;3.52;1;True
2014;3;Strana svobodných občanů;40;Nedbal Pavel Bc.;Bc.;33;Svobodní;BEZPP;824;2.0;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;47;NEJEZCHLEBOVÁ Eva;;62;KDU-ČSL;BEZPP;1650;1.57;44;False
2014;12;Strana Práv Občanů;3;Nekolová Šárka;;55;SPO;BEZPP;179;7.59;-;False
2014;5;Společně za Plzeň;47;Němec Josef;;35;Piráti;Piráti;1398;1.58;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;42;Norková Eva;;50;Úsvit;BEZPP;1049;1.95;-;False
2014;9;Plzeň pro sport;46;Norovská Bohuslava;;60;PPPS;BEZPP;577;1.75;-;False
2014;13;Česká str.sociálně demokrat.;41;Nosek Petr Dr.;Dr.;59;ČSSD;ČSSD;6186;2.04;31;False
2014;14;Občané patrioti;33;Nosek Petr Ing. arch.;Ing. arch.;43;OPAT;BEZPP;2728;2.02;29;False
2014;5;Společně za Plzeň;8;Nová Vladimíra;;42;NK;BEZPP;1941;2.2;-;False
2014;5;Společně za Plzeň;13;Novák Petr Ing. Ph.D.;Ing. Ph.D.;32;NK;SNK ED;1834;2.08;-;False
2014;4;Změna pro Plzeň;37;Novák Zdeněk;;53;NK;BEZPP;873;1.9;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;43;Nováková Jana;;24;VZ;BEZPP;1020;1.9;-;False
2014;13;Česká str.sociálně demokrat.;24;Nováková Jana;;72;ČSSD;ČSSD;6424;2.11;14;False
2014;4;Změna pro Plzeň;3;Novotný Jiří Mgr.;Mgr.;31;NK;BEZPP;1183;2.58;-;False
2014;5;Společně za Plzeň;36;Nový Ladislav;;34;Zelení;BEZPP;1807;2.05;-;False
2014;6;TOP 09;10;Nový Miloš Ing. et Ing.;Ing. et Ing.;54;TOP 09;BEZPP;3894;2.33;5;False
2014;5;Společně za Plzeň;43;Nový Vladimír Ing.;Ing.;42;STAN;BEZPP;1642;1.86;-;False
2014;13;Česká str.sociálně demokrat.;7;Osvald Petr Ing.;Ing.;48;ČSSD;ČSSD;6792;2.24;7;True
2014;13;Česká str.sociálně demokrat.;34;Pach Václav;;37;ČSSD;ČSSD;6347;2.09;24;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;17;PACHNER Martin MUDr.;MUDr.;29;KDU-ČSL;BEZPP;2265;2.16;14;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;8;Páníková Hana;;53;VZ;VZ;1166;2.17;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;14;PARVONIČOVÁ Petra;;31;KDU-ČSL;BEZPP;2272;2.17;11;False
2014;7;Volební strana REPUBLIKA;9;Pašek Josef;;52;Republika;BEZPP;65;3.2;-;False
2014;14;Občané patrioti;26;Patera Václav Ing.;Ing.;60;OPAT;BEZPP;2786;2.06;22;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;28;Pecinová Daniela;;23;VZ;BEZPP;1139;2.12;-;False
2014;10;Komunistická str.Čech a Moravy;8;Pech Miloslav;;62;KSČM;BEZPP;3336;2.18;3;False
